Product Name;Title;CPU;OS;Panel Size;Reslolution;Brightness;CPU;GPU;RAM;SSD;IO Port;Weight (with Battery);Size;Expansion Slot;Include in the box;Battery;Power Supply
BG1408CVA-EB7150X;ASUS ExpertBook B1 (i7-1355U/16GB/512GB/Win 11 Pro/BG1408CVA);i7-1355U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i7-1355U 1.7 GHz;Intel® UHD Graphics;DDR4 16GB ( 16GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B3404CVA-Q55850X;(i5-1335U/ 8GB/512GB/Win 11 Pro/B3404CVA);i5-1335U;Windows 11 Pro;Not Found;WUXGA(WU) 1920X1200 16:10;300nits;Intel® Core™ i5-1335U 1.3GHz;Intel® UHD Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"1x USB 3.2 Gen 2 Type-C support power delivery
 2x USB 3.2 Gen 2 Type-A
 1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.542 Kg;31.37 x 22.68 x 1.99 ~ 1.99 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2280 PCIe 4.0x4";None;63WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
PM1403CDA-S60091WS;(R7 7735HS/16GB/512GB/Win 11/PM1403CDA);R7 7735HS;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;AMD Ryzen™ 7 7735HS 3.2GHz;AMD Radeon™ Graphics;DDR5 16GB ( 16GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.397 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1408CVA-EB7110W;ASUS ExpertBook B1 (i7-1355U/16GB/1TB/Win 11/BG1408CVA);i7-1355U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i7-1355U 1.7 GHz;Intel® UHD Graphics;DDR4 16GB ( 16GB DDR4 on board );1TB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1408CVA-EB5150W;ASUS ExpertBook B1 (i5-1335U/16GB/512GB/Win 11/BG1408CVA);i5-1335U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i5-1335U 1.3GHz;Intel® UHD Graphics;DDR4 16GB ( 16GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B1403CVA-S63850X;ASUS ExpertBook B1 (i3-1315U/ 8GB/512GB/Win 11 Pro/B1403CVA);i3-1315U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
P1403CVA-S67151WS;ASUS ExpertBook P1 (i7-13620H/16GB/512GB/Win 11/P1403CVA);i7-13620H;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i7-13620H 2.4 GHz;Intel® UHD Graphics;DDR5 16GB ( 16GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.447 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
P3405CVA-LY5150WS;ASUS ExpertBook P3 (i5-13420H/16GB/512GB/Win 11/P3405CVA);i5-13420H;Windows 11 Home;Not Found;WUXGA(WU) 1920X1200 16:10;300nits;Intel® Core™ i5-13420H 2.1 GHz;Intel® UHD Graphics;DDR5 16GB ( 16GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.422 Kg;31.51 x 22.68 x 1.79 ~ 1.80 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B9403CVAR-KM7310X;ASUS ExpertBook B9 (Core 7 150U/32GB/1TB/Win 11 Pro/B9403CVAR);Core 7 150U;Windows 11 Pro;Not Found;WQXGA+(WQ+) 2880X1800 16:10;400nits(HDR);Intel® Core™ 7 150U 1.8 GHz;Intel® Graphics;LPDDR5X 32GB ( 32GB LPDDR5X on board );1TB 2280 PCIE G4 (PERFORMANCE) SSD;"1x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x micro HDMI (RJ45 lan)
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack";0.977 Kg;31.10 x 21.50 x 1.57 ~ 1.69 cm;1x M.2 2280 PCIe 4.0x4;"Micro HDMI to RJ45 gigabit ethernet adapter
 Sleeve
 Wireless optical mouse";63WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
P3405CVA-LY7110WS;ASUS ExpertBook P3 (i7-13620H/16GB/1TB/Win 11/P3405CVA);i7-13620H;Windows 11 Home;Not Found;WUXGA(WU) 1920X1200 16:10;300nits;Intel® Core™ i7-13620H 2.4 GHz;Intel® UHD Graphics;DDR5 16GB ( 16GB DDR5 SO-DIMM );1TB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.422 Kg;31.51 x 22.68 x 1.79 ~ 1.80 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
PM3406CKA-NZ7310WS;ASUS ExpertBook P3 (AMD Ryzen™AI 7 350 2.0GHz/32GB/1TB/Win 11/PM3406CKA);AMD Ryzen™AI 7 350 2.0GHz;Windows 11 Home;Not Found;WQXGA(WQ) 2560X1600 16:10;400nits;"AMD Ryzen™AI 7 350 2.0GHz 
 NPU 50 TOPs";AMD Radeon™ Graphics;DDR5 32GB ( 32GB DDR5 SO-DIMM );1TB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 2.1 TMDS
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.42 Kg;31.27 x 22.71 x 1.79 ~ 1.80 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;70WHrs, 4-cell Li-ion;TYPE-C, 90W AC Adapter
P1503CVA-S73850WS;ASUS ExpertBook P1 (i3-1315U/ 8GB/512GB/Win 11/P1503CVA);i3-1315U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 3840x2160p/30Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.62 Kg;35.95 x 23.22 x 1.99 ~ 1.99 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
PM1403CDA-S65850WS;(R5 7535HS/ 8GB/512GB/Win 11/PM1403CDA);R5 7535HS;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;AMD Ryzen™ 5 7535HS 3.3GHz;AMD Radeon™ Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.397 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1408CVA-EB5850X;ASUS ExpertBook B1 (i5-1335U/ 8GB/512GB/Win 11 Pro/BG1408CVA);i5-1335U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i5-1335U 1.3GHz;Intel® UHD Graphics;DDR4 8GB ( 8GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1408CVA-EB7110X;ASUS ExpertBook B1 (i7-1355U/16GB/1TB/Win 11 Pro/BG1408CVA);i7-1355U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i7-1355U 1.7 GHz;Intel® UHD Graphics;DDR4 16GB ( 16GB DDR4 on board );1TB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B7402FBA-LA7311X;ASUS ExpertBook B7 Flip (i7-1260P/32GB/1TB/Win 11 Pro/B7402FBA);i7-1260P;Windows 11 Pro;Not Found;WUXGA(WU) 1920X1200 16:10;500nits;Intel® Core™ i7-1260P 2.1 GHz;Intel Iris Xᵉ Graphics;DDR5 32GB ( 16GB DDR5 SO-DIMM *2 );1TB 2280 PCIE G4 (PERFORMANCE) SSD;"2x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x mini DisplayPort
 1x HDMI 2.0b
 1x micro HDMI (RJ45 lan)
 1x 3.5mm Combo Audio Jack
 SIM card slot
 Smart card reader";0.227 Kg;32.00 x 23.42 x 1.80 ~ 1.89 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Micro HDMI to RJ45 gigabit ethernet adapter
 MPP 2.0 ASUS Pen
 Wireless optical mouse";63WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
B6602FC2-MH7310X;ASUS ExpertBook B6 Flip (i7-12850HX/32GB/1TB/RTX A2000/Win 11 Pro/B6602FC2);i7-12850HX;Windows 11 Pro;Not Found;WQXGA(WQ) 2560X1600 16:10;500nits(HDR);Intel® Core™ i7-12850HX vPro® 2.1 GHz;NVIDIA® Quadro® RTX A2000 8GB;DDR5 32GB ( 16GB DDR5 SO-DIMM *2 );1TB 2280 PCIE G4 (PERFORMANCE) SSD;"2x USB 3.1 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.0b
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet
 1x DC-in
 Smart card reader";0.352 Kg;38.30 x 27.20 x 2.70 ~ 2.70 cm;"4 x DDR5 SO-DIMM slots
 2x M.2 2280 PCIe 4.0x4";"Backpack
 MPP 2.0 ASUS Pen";90WHrs, 4-cell Li-ion;ø6.0, 240W AC Adapter
P1403CVA-S67150WS;ASUS ExpertBook P1 (i7-13700H/16GB/512GB/Win 11/P1403CVA);i7-13700H;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i7-13700H 2.4 GHz;Intel® UHD Graphics;DDR5 16GB ( 16GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.447 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";Backpack;50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
CX3402CVA-PQ3820;ASUS Chromebook Plus CX34 (i3-1315U/ 8GB/256GB/ChromeOS/CX3402CVA);i3-1315U;ChromeOS;Not Found;FHD 1920X1080 16:9(1.5W);250nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;LPDDR5X 8GB ( 8GB LPDDR5 on board );256GB UFS;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 1 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack";1.432 Kg;32.64 x 21.43 x 1.87 ~ 1.87 cm;;None;50WHrs, 3-cell Li-ion;TYPE-C, 45W AC Adapter
BG1409CVA-S63850W;ASUS ExpertBook B1 (i3-1315U/ 8GB/512GB/Win 11/BG1409CVA);i3-1315U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;DDR5 8GB ( 8GB DDR5 SO-DIMM );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.4 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
CX1405CKA-S64810;ASUS Chromebook CX14 (Intel® Celeron® N4500 1.1/ 8GB/128GB/ChromeOS/CX1405CKA);Intel® Celeron® N4500 1.1;ChromeOS;Not Found;FHD 1920X1080 16:9;300nits;Intel® Celeron® N4500 1.1 GHz;Intel® UHD Graphics;LPDDR4X 8GB ( 8GB LPDDR4X on board );128GB EMMC;"1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack";1.41 Kg;32.45 x 21.44 x 1.70 ~ 1.99 cm;0;None;42WHrs, 3-cell Li-ion;TYPE-C, 45W AC Adapter
B9400CBA-KC7320X;ASUS ExpertBook B9 (i7-1255U/32GB/2TB/Win 11 Pro/B9400CBA);i7-1255U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9(1W);400nits;Intel® Core™ i7-1255U 1.7 GHz;Intel Iris Xᵉ Graphics;LPDDR5 32GB ( 32GB LPDDR5 on board );2TB 2280 PCIE G4 (PERFORMANCE) SSD;"1x USB 3.2 Gen 2 Type-A
 2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
 1x HDMI 2.0b
 1x micro HDMI (RJ45 lan)
 1x 3.5mm Combo Audio Jack";1.133 Kg;32.00 x 20.30 x 1.49 ~ 1.49 cm;2x M.2 2280 PCIe 4.0x4;"Micro HDMI to RJ45 gigabit ethernet adapter
 Sleeve";66WHrs, 4-cell Li-ion;TYPE-C, 65W AC Adapter
B1402CVA-NK3851X;ASUS ExpertBook B1 (i3-1315U/ 8GB/512GB/Win 11 Pro/B1402CVA);i3-1315U;Windows 11 Pro;Not Found;FHD 1920X1080 16:9;250nits;Intel® Core™ i3-1315U 1.2 GHz;Intel® UHD Graphics;DDR4 8GB ( 8GB DDR4 on board );512GB 2280 PCIE G4 SSD;"1x USB 2.0 Type-A
 1x USB 3.2 Gen 1 Type-A
 1x USB 3.2 Gen 1 Type-C support power delivery
 1x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4, up to 1920x1080p/60Hz
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.469 Kg;32.69 x 21.45 x 1.99 ~ 1.99 cm;"1x DDR4 SO-DIMM slot
 1x M.2 2280 PCIe 4.0x4";Backpack;42WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S67110W;ASUS ExpertBook B1 (i7-1355U/16GB/1TB/Win 11/BG1409CVA);i7-1355U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i7-1355U 1.7 GHz;Intel Iris Xᵉ Graphics;DDR5 16GB ( 8GB DDR5 SO-DIMM *2 );1TB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
BG1409CVA-S65150W;ASUS ExpertBook B1 (i5-1334U/16GB/512GB/Win 11/BG1409CVA);i5-1334U;Windows 11 Home;Not Found;FHD 1920X1080 16:9;300nits;Intel® Core™ i5-1334U 1.3 GHz;Intel Iris Xᵉ Graphics;DDR5 16GB ( 8GB DDR5 SO-DIMM *2 );512GB 2280 PCIE G4 SSD;"2x USB 3.2 Gen 1 Type-A
 2x USB 3.2 Gen 2 Type-C support display / power delivery
 1x HDMI 1.4
 1x 3.5mm Combo Audio Jack
 1x RJ45 Gigabit Ethernet";1.407 Kg;32.45 x 21.44 x 1.97 ~ 1.97 cm;"2x DDR5 SO-DIMM slots
 1x M.2 2230 PCIe 4.0x4
 1x M.2 2280 PCIe 4.0x4";"Backpack
 Carry bag
 USB-C to USB-C cable";50WHrs, 3-cell Li-ion;TYPE-C, 65W AC Adapter
